2016-02-17 07:34:49.370281 | ljf | shopping,and Pay None 
2016-02-18 07:35:33.537796 | ljf | change password 
2016-02-19 07:35:43.938200 | ljf | logout the system 
2016-02-19 07:37:01.650285 | ljf | shopping,and Pay 180 
2016-02-19 07:37:10.450372 | ljf | shopping,and Pay 290 
2016-02-19 07:37:49.008175 | ljf | logout the system 
2016-02-19 07:34:49.370281 | ljf | shopping,and Pay None 
2016-02-19 07:35:33.537796 | ljf | change password 
2016-02-19 07:35:43.938200 | ljf | logout the system 
2016-02-19 07:37:01.650285 | ljf | shopping,and Pay 180 
2016-02-19 07:37:10.450372 | ljf | shopping,and Pay 290 
2016-02-19 07:37:49.008175 | ljf | logout the system 
