2016-03-04 07:46:11,110 | yq | INFO | login in ftp system  is sucessfully!!
2016-03-04 07:48:26,271 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 07:48:45,574 | yq | ERROR | error username or password!!
2016-03-04 07:52:41,299 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,302 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,302 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:55:10,627 | ljf | ERROR | error username or password!!
2016-03-04 07:58:13,017 | ljf | ERROR | error username or password!!
2016-03-04 07:58:56,481 | ljf | ERROR | error username or password!!
2016-03-04 07:59:45,600 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,520 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,522 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,545 | ljf | ERROR | error username or password!!
2016-03-04 08:02:12,439 | ljf | ERROR | error username or password!!
2016-03-04 08:02:32,504 | ljf | ERROR | error username or password!!
2016-03-04 08:02:58,006 | ljf | ERROR | error username or password!!
2016-03-04 08:03:22,871 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:03:30,360 | ljf | ERROR | error username or password!!
2016-03-04 08:03:30,362 | ljf | ERROR | error username or password!!
2016-03-04 08:03:30,365 | ljf | ERROR | error username or password!!
2016-03-04 08:04:10,862 | yq | ERROR | error username or password!!
2016-03-04 08:04:10,865 | yq | ERROR | error username or password!!
2016-03-04 08:04:10,868 | yq | ERROR | error username or password!!
2016-03-04 08:07:03,221 | ljf | ERROR | error username or password!!
2016-03-04 08:07:10,268 | ljf | ERROR | error username or password!!
2016-03-04 08:07:10,268 | ljf | ERROR | error username or password!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
