2016-03-15 22:30:32,764 | root | INFO | 127.0.0.1 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-15 22:30:32,776 | root | INFO | 192.168.141.137 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-16 10:38:39,089 | root | INFO | 192.168.141.137 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-16 10:38:39,366 | root | INFO | 127.0.0.1 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-16 10:38:56,242 | root | INFO | 192.168.141.137 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-16 10:38:56,495 | root | INFO | 127.0.0.1 ('Filesystem                    Type     Size  Used Avail Use% Mounted on\n/dev/mapper/vg_centos-lv_root ext4      41G  7.5G   32G  20% /\ntmpfs                         tmpfs    1.9G  244K  1.9G   1% /dev/shm\n/dev/sda1                     ext4     485M   35M  426M   8% /boot\n/dev/sr0                      iso9660  4.2G  4.2G     0 100% /media/CentOS_6.5_Final\n', '')
2016-03-17 08:07:59,380 | root | INFO | 127.0.0.1 (' 08:07:59 up  6:32,  5 users,  load average: 1.02, 0.37, 0.12\n', '')
2016-03-18 07:54:40,827 | root | INFO | 127.0.0.1 ('', 'bash: /tmp/xx.txt: 没有那个文件或目录\n')
2016-03-18 08:01:25,853 | root | INFO | 127.0.0.1 (' 08:01:25 up 11:32,  8 users,  load average: 0.07, 0.06, 0.04\n', '')
2016-03-18 08:02:20,690 | root | INFO | 127.0.0.1 (' 08:02:20 up 11:33,  8 users,  load average: 0.09, 0.06, 0.04\n', '')
2016-03-18 08:03:10,162 | root | INFO | 127.0.0.1 (' 08:03:10 up 11:34,  8 users,  load average: 0.12, 0.08, 0.04\n', '')
