2016-03-04 07:46:11,110 | yq | INFO | login in ftp system  is sucessfully!!
2016-03-04 07:48:26,271 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 07:48:45,574 | yq | ERROR | error username or password!!
2016-03-04 07:52:41,299 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,302 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,302 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:52:41,306 | ljf | ERROR | error username or password!!
2016-03-04 07:55:10,627 | ljf | ERROR | error username or password!!
2016-03-04 07:58:13,017 | ljf | ERROR | error username or password!!
2016-03-04 07:58:56,481 | ljf | ERROR | error username or password!!
2016-03-04 07:59:45,600 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,520 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,522 | ljf | ERROR | error username or password!!
2016-03-04 08:00:49,545 | ljf | ERROR | error username or password!!
2016-03-04 08:02:12,439 | ljf | ERROR | error username or password!!
2016-03-04 08:02:32,504 | ljf | ERROR | error username or password!!
2016-03-04 08:02:58,006 | ljf | ERROR | error username or password!!
2016-03-04 08:03:22,871 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:03:30,360 | ljf | ERROR | error username or password!!
2016-03-04 08:03:30,362 | ljf | ERROR | error username or password!!
2016-03-04 08:03:30,365 | ljf | ERROR | error username or password!!
2016-03-04 08:04:10,862 | yq | ERROR | error username or password!!
2016-03-04 08:04:10,865 | yq | ERROR | error username or password!!
2016-03-04 08:04:10,868 | yq | ERROR | error username or password!!
2016-03-04 08:07:03,221 | ljf | ERROR | error username or password!!
2016-03-04 08:07:10,268 | ljf | ERROR | error username or password!!
2016-03-04 08:07:10,268 | ljf | ERROR | error username or password!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-04 08:07:14,853 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-08 16:35:12,165 | ljf | ERROR | error username or password!!
2016-03-08 16:35:22,958 | asfasdf | ERROR | error username or password!!
2016-03-08 16:35:27,333 | ljf | ERROR | error username or password!!
2016-03-08 16:35:27,333 | ljf | ERROR | error username or password!!
2016-03-08 16:35:42,429 | nhao | ERROR | error username or password!!
2016-03-08 16:35:45,046 | asaf | ERROR | error username or password!!
2016-03-08 16:35:47,205 | jiofasjdfioas | ERROR | error username or password!!
2016-03-10 11:25:42,485 | ljf | ERROR | error username or password!!
2016-03-10 11:26:24,309 | ljf | ERROR | error username or password!!
2016-03-10 11:26:44,364 | ljf | ERROR | error username or password!!
2016-03-10 11:27:03,621 | ljf | ERROR | error username or password!!
2016-03-10 11:34:21,154 | lj | ERROR | error username or password!!
2016-03-10 11:34:53,656 | lajsfa | ERROR | error username or password!!
2016-03-10 11:35:27,698 | asdfaf | ERROR | error username or password!!
2016-03-10 11:35:59,681 | asdfafzx | ERROR | error username or password!!
2016-03-10 11:50:23,834 | ljasfxcv | ERROR | error username or password!!
2016-03-10 11:54:43,777 | ljf | ERROR | error username or password!!
2016-03-10 12:50:56,682 | ljf | ERROR | error username or password!!
2016-03-10 12:51:15,394 | ljf | ERROR | error username or password!!
2016-03-10 12:52:25,425 | ljf | ERROR | error username or password!!
2016-03-10 12:52:54,097 | ljf | ERROR | error username or password!!
2016-03-10 12:53:24,097 | ljf | ERROR | error username or password!!
2016-03-10 12:53:58,144 | ljf | ERROR | error username or password!!
2016-03-10 12:54:06,481 | root | ERROR | error username or password!!
2016-03-10 12:54:51,184 | ljf | ERROR | error username or password!!
2016-03-10 15:39:12,635 | ljf | ERROR | error username or password!!
2016-03-10 15:41:44,537 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 15:41:57,306 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:00:45,962 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:12:57,699 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:16:12,442 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:17:43,882 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:18:04,025 | ljf | INFO | login in ftp system  is sucessfully!!
2016-03-10 16:19:08,402 | ljf  | ERROR | error username or password!!
2016-03-10 16:20:36,256 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:12:17,358 | ljf | ERROR | error username or password!!
2016-01-08 19:12:20,662 | ljf | ERROR | error username or password!!
2016-01-08 19:12:20,662 | ljf | ERROR | error username or password!!
2016-01-08 19:12:25,582 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:12:25,582 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:12:25,582 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:18:20,260 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:19:46,251 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:28:39,488 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:29:26,032 | yq | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:30:45,289 | lisi | ERROR | error username or password!!
2016-01-08 19:32:10,263 | q | ERROR | error username or password!!
2016-01-08 19:32:21,335 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:35:00,357 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:36:45,397 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:36:55,029 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:42:39,276 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:47:33,145 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:48:14,098 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:54:53,743 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:56:05,453 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:56:57,957 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:57:47,918 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 19:59:40,548 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:02:12,124 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:07:34,393 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:37:00,359 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:37:47,997 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:44:21,924 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:53:58,775 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:56:08,111 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 20:57:43,134 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:08:42,250 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:12:08,840 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:13:25,978 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:26:08,053 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:26:59,818 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:27:07,876 | yq | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:31:27,394 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:31:54,658 | yq | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:37:38,503 | yq | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:40:36,701 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:41:05,469 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:50:40,273 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:51:03,425 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:52:49,232 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:54:38,634 | lisi | ERROR | error username or password!!
2016-01-08 21:54:41,176 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 21:54:41,176 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 22:50:56,161 | ljf | INFO | login in ftp system  is sucessfully!!
2016-01-08 22:51:13,113 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 22:57:46,613 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:00:42,918 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:02:22,308 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:05:59,467 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:21:29,190 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:25:09,413 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:33:04,424 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:36:28,376 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:38:10,161 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:39:26,817 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:40:26,129 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:40:59,068 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:44:41,748 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:46:23,403 | lisi | INFO | login in ftp system  is sucessfully!!
2016-01-08 23:46:51,324 | lisi | INFO | login in ftp system  is sucessfully!!
